driver,team,compound,stint_length,tyre_age,track_temp,air_temp,lap_time,track_name,degradation_rate,remaining_grip
VER,Red Bull Racing,WET,15,3,28.8,21.3,105.603,Monaco,-0.8216321428571396,100.0
VER,Red Bull Racing,WET,15,4,28.6,21.4,101.426,Monaco,-0.8216321428571396,100.0
VER,Red Bull Racing,WET,15,5,28.5,21.6,100.918,Monaco,-0.8216321428571396,100.0
VER,Red Bull Racing,WET,15,6,28.3,21.6,98.151,Monaco,-0.8216321428571396,100.0
VER,Red Bull Racing,WET,15,7,28.5,21.7,98.028,Monaco,-0.8216321428571396,100.0
VER,Red Bull Racing,WET,15,8,28.1,21.7,97.715,Monaco,-0.8216321428571396,100.0
VER,Red Bull Racing,WET,15,9,28.2,21.7,96.951,Monaco,-0.8216321428571396,100.0
VER,Red Bull Racing,WET,15,10,28.3,21.9,96.834,Monaco,-0.8216321428571396,100.0
VER,Red Bull Racing,WET,15,11,27.6,22.0,95.808,Monaco,-0.8216321428571396,100.0
VER,Red Bull Racing,WET,15,12,27.3,21.9,95.414,Monaco,-0.8216321428571396,100.0
VER,Red Bull Racing,WET,15,13,27.0,22.0,94.257,Monaco,-0.8216321428571396,100.0
VER,Red Bull Racing,WET,15,14,26.4,21.8,94.031,Monaco,-0.8216321428571396,100.0
VER,Red Bull Racing,WET,15,15,27.2,21.9,92.702,Monaco,-0.8216321428571396,100.0
VER,Red Bull Racing,WET,15,16,26.9,21.9,92.113,Monaco,-0.8216321428571396,100.0
VER,Red Bull Racing,WET,15,17,26.9,22.1,91.38,Monaco,-0.8216321428571396,100.0
VER,Red Bull Racing,MEDIUM,33,2,28.3,21.9,122.493,Monaco,-0.02486986803519175,100.0
VER,Red Bull Racing,MEDIUM,33,3,28.5,21.9,83.603,Monaco,-0.02486986803519175,100.0
VER,Red Bull Racing,MEDIUM,33,4,28.8,22.0,81.169,Monaco,-0.02486986803519175,99.80658229775372
VER,Red Bull Racing,MEDIUM,33,5,28.8,22.1,79.85,Monaco,-0.02486986803519175,100.0
VER,Red Bull Racing,MEDIUM,33,6,28.9,22.2,79.018,Monaco,-0.02486986803519175,100.0
VER,Red Bull Racing,MEDIUM,33,7,29.1,22.3,78.481,Monaco,-0.02486986803519175,100.0
VER,Red Bull Racing,MEDIUM,33,8,29.1,22.3,77.542,Monaco,-0.02486986803519175,94.81924884311923
VER,Red Bull Racing,MEDIUM,33,9,28.8,22.4,77.044,Monaco,-0.02486986803519175,96.41034522818404
VER,Red Bull Racing,MEDIUM,33,10,28.8,22.3,76.543,Monaco,-0.02486986803519175,97.17626117088919
VER,Red Bull Racing,MEDIUM,33,11,28.9,22.4,76.273,Monaco,-0.02486986803519175,92.14051266949268
VER,Red Bull Racing,MEDIUM,33,12,29.1,22.5,76.962,Monaco,-0.02486986803519175,95.42058745679661
VER,Red Bull Racing,MEDIUM,33,13,29.4,22.5,77.426,Monaco,-0.02486986803519175,91.14157733200318
VER,Red Bull Racing,MEDIUM,33,14,29.5,22.4,77.092,Monaco,-0.02486986803519175,90.81841215237976
VER,Red Bull Racing,MEDIUM,33,15,29.0,22.4,76.761,Monaco,-0.02486986803519175,88.9383735650714
VER,Red Bull Racing,MEDIUM,33,16,28.7,22.3,76.758,Monaco,-0.02486986803519175,95.25032795528641
VER,Red Bull Racing,MEDIUM,33,17,29.0,22.4,76.052,Monaco,-0.02486986803519175,88.30300172754579
VER,Red Bull Racing,MEDIUM,33,18,29.6,22.5,76.195,Monaco,-0.02486986803519175,83.6703606148919
VER,Red Bull Racing,MEDIUM,33,19,29.7,22.6,76.906,Monaco,-0.02486986803519175,88.06112813806917
VER,Red Bull Racing,MEDIUM,33,20,29.8,22.5,76.832,Monaco,-0.02486986803519175,80.68096245184653
VER,Red Bull Racing,MEDIUM,33,21,29.5,22.6,77.503,Monaco,-0.02486986803519175,83.92008418677386
VER,Red Bull Racing,MEDIUM,33,22,29.2,22.6,77.241,Monaco,-0.02486986803519175,76.36448303012027
VER,Red Bull Racing,MEDIUM,33,23,29.2,22.5,77.668,Monaco,-0.02486986803519175,77.05893525506431
VER,Red Bull Racing,MEDIUM,33,24,29.2,22.4,77.692,Monaco,-0.02486986803519175,80.43407710936697
VER,Red Bull Racing,MEDIUM,33,25,29.1,22.5,78.227,Monaco,-0.02486986803519175,80.90889314174582
VER,Red Bull Racing,MEDIUM,33,26,29.1,22.3,78.731,Monaco,-0.02486986803519175,78.0075982453295
VER,Red Bull Racing,MEDIUM,33,27,29.1,22.4,78.916,Monaco,-0.02486986803519175,75.94654855459487
VER,Red Bull Racing,MEDIUM,33,28,29.1,22.4,79.15,Monaco,-0.02486986803519175,74.19018231499173
VER,Red Bull Racing,MEDIUM,33,29,29.5,22.4,79.015,Monaco,-0.02486986803519175,69.25792743065732
VER,Red Bull Racing,MEDIUM,33,30,29.3,22.4,78.67,Monaco,-0.02486986803519175,70.43396077657546
VER,Red Bull Racing,MEDIUM,33,31,29.1,22.3,78.904,Monaco,-0.02486986803519175,70.11157708888022
VER,Red Bull Racing,MEDIUM,33,32,29.1,22.2,78.123,Monaco,-0.02486986803519175,73.46486008041634
VER,Red Bull Racing,MEDIUM,33,33,28.9,22.2,77.768,Monaco,-0.02486986803519175,70.22434827046499
VER,Red Bull Racing,MEDIUM,33,34,29.5,22.3,77.965,Monaco,-0.02486986803519175,62.40437293567138
GAS,AlphaTauri,INTERMEDIATE,18,3,28.5,21.5,102.417,Monaco,-0.5184210526315776,100.0
GAS,AlphaTauri,INTERMEDIATE,18,4,28.4,21.5,99.431,Monaco,-0.5184210526315776,100.0
GAS,AlphaTauri,INTERMEDIATE,18,5,28.3,21.6,98.346,Monaco,-0.5184210526315776,100.0
GAS,AlphaTauri,INTERMEDIATE,18,6,28.2,21.8,97.686,Monaco,-0.5184210526315776,100.0
GAS,AlphaTauri,INTERMEDIATE,18,7,28.1,21.6,98.733,Monaco,-0.5184210526315776,100.0
GAS,AlphaTauri,INTERMEDIATE,18,8,28.2,21.7,98.489,Monaco,-0.5184210526315776,100.0
GAS,AlphaTauri,INTERMEDIATE,18,9,27.9,21.9,99.615,Monaco,-0.5184210526315776,100.0
GAS,AlphaTauri,INTERMEDIATE,18,10,27.3,21.9,98.408,Monaco,-0.5184210526315776,100.0
GAS,AlphaTauri,INTERMEDIATE,18,11,27.1,22.0,98.79,Monaco,-0.5184210526315776,100.0
GAS,AlphaTauri,INTERMEDIATE,18,12,27.0,21.9,96.803,Monaco,-0.5184210526315776,100.0
GAS,AlphaTauri,INTERMEDIATE,18,13,26.4,21.8,91.251,Monaco,-0.5184210526315776,100.0
GAS,AlphaTauri,INTERMEDIATE,18,14,27.0,21.9,92.928,Monaco,-0.5184210526315776,100.0
GAS,AlphaTauri,INTERMEDIATE,18,15,26.9,21.9,95.031,Monaco,-0.5184210526315776,100.0
GAS,AlphaTauri,INTERMEDIATE,18,16,26.8,22.0,95.185,Monaco,-0.5184210526315776,100.0
GAS,AlphaTauri,INTERMEDIATE,18,17,27.1,22.1,93.628,Monaco,-0.5184210526315776,100.0
GAS,AlphaTauri,INTERMEDIATE,18,18,27.1,22.0,93.413,Monaco,-0.5184210526315776,100.0
