driver,team,compound,stint_length,tyre_age,track_temp,air_temp,lap_time,track_name,degradation_rate,remaining_grip
LEC,Ferrari,HARD,76,55,42.4,21.7,77.266,Monaco,-0.06758205058099793,65.32401328107446
LEC,Ferrari,HARD,76,56,42.4,21.7,77.64,Monaco,-0.06758205058099793,36.53994456889015
LEC,Ferrari,HARD,76,57,42.2,21.8,77.028,Monaco,-0.06758205058099793,46.557697710619045
LEC,Ferrari,HARD,76,58,41.9,21.6,77.034,Monaco,-0.06758205058099793,44.84379817001386
LEC,Ferrari,HARD,76,59,42.3,21.5,76.414,Monaco,-0.06758205058099793,55.01341736588319
LEC,Ferrari,HARD,76,60,42.0,21.6,76.863,Monaco,-0.06758205058099793,44.88993507726179
LEC,Ferrari,HARD,76,61,42.0,21.8,77.454,Monaco,-0.06758205058099793,35.0
LEC,Ferrari,HARD,76,62,42.0,22.0,76.971,Monaco,-0.06758205058099793,39.63974334636836
LEC,Ferrari,HARD,76,63,42.0,21.9,76.56,Monaco,-0.06758205058099793,45.841861877823646
LEC,Ferrari,HARD,76,64,41.7,21.9,76.607,Monaco,-0.06758205058099793,43.34964880974974
LEC,Ferrari,HARD,76,65,41.7,22.0,76.489,Monaco,-0.06758205058099793,43.98967310831831
LEC,Ferrari,HARD,76,66,41.6,22.0,75.941,Monaco,-0.06758205058099793,52.79249781692535
LEC,Ferrari,HARD,76,67,41.1,21.7,76.082,Monaco,-0.06758205058099793,48.515858612703646
LEC,Ferrari,HARD,76,68,41.6,21.8,76.373,Monaco,-0.06758205058099793,41.391730893351905
LEC,Ferrari,HARD,76,69,41.6,21.8,75.767,Monaco,-0.06758205058099793,51.29558449447587
LEC,Ferrari,HARD,76,70,41.0,21.6,75.162,Monaco,-0.06758205058099793,61.18045483883196
LEC,Ferrari,HARD,76,71,40.5,21.6,75.547,Monaco,-0.06758205058099793,52.27190098333269
LEC,Ferrari,HARD,76,72,40.5,21.6,76.219,Monaco,-0.06758205058099793,37.91515243555189
LEC,Ferrari,HARD,76,73,40.8,21.7,76.105,Monaco,-0.06758205058099793,38.47924370705023
LEC,Ferrari,HARD,76,74,40.6,21.7,76.387,Monaco,-0.06758205058099793,35.0
LEC,Ferrari,HARD,76,75,40.6,21.7,76.808,Monaco,-0.06758205058099793,35.0
LEC,Ferrari,HARD,76,76,40.9,21.8,76.933,Monaco,-0.06758205058099793,35.0
LEC,Ferrari,HARD,76,77,40.9,21.8,78.636,Monaco,-0.06758205058099793,35.0
PIA,McLaren,HARD,76,3,49.2,21.7,84.953,Monaco,-0.06392121667805882,95.0
PIA,McLaren,HARD,76,4,48.8,21.7,82.314,Monaco,-0.06392121667805882,93.6
PIA,McLaren,HARD,76,5,48.2,21.6,82.019,Monaco,-0.06392121667805882,92.0
PIA,McLaren,HARD,76,6,48.7,21.8,81.354,Monaco,-0.06392121667805882,100.0
PIA,McLaren,HARD,76,7,48.0,21.8,80.808,Monaco,-0.06392121667805882,100.0
PIA,McLaren,HARD,76,8,47.9,21.9,81.058,Monaco,-0.06392121667805882,100.0
PIA,McLaren,HARD,76,9,47.4,22.1,79.906,Monaco,-0.06392121667805882,100.0
PIA,McLaren,HARD,76,10,47.9,22.1,80.89,Monaco,-0.06392121667805882,100.0
PIA,McLaren,HARD,76,11,47.9,22.2,80.898,Monaco,-0.06392121667805882,100.0
